FID,id,geom,oid,sr_no,girth_cm,height_m,canopy_dia_m,condition,other_remarks,ownership,society_name,road_name,northing,easting,balanced,remarks,special_collar,ward_name,botanical_name,saar_uid,common_name,local_name,economic_i,phenology,flowering,ward,is_rare
trees_display.fid--1672c0a_16c6758e284_83c,18044489,POINT (73.78872972000005 18.555064997000045),,,28,4,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.555065,73.78872972,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029550,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_83d,18044490,POINT (73.7887072560001 18.555059912000033),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55505991,73.78870726,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029551,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_83e,18044491,POINT (73.78871798500006 18.55506309000004),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55506309,73.78871799,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029552,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_83f,18044492,POINT (73.78875821800007 18.55505514400004),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55505514,73.78875822,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029553,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_840,18044493,POINT (73.78880549200002 18.55507739300004),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55507739,73.78880549,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029554,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_841,18044494,POINT (73.78890004000004 18.555043066000053),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55504307,73.78890004,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029555,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_842,18044495,POINT (73.78881320400008 18.55503575500006),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55503575,73.7888132,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029556,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_843,18044496,POINT (73.78879275200006 18.55507580400006),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.5550758,73.78879275,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029558,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_844,18044497,POINT (73.78880985100004 18.55506309000004),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.55506309,73.78880985,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029557,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
trees_display.fid--1672c0a_16c6758e284_845,18044498,POINT (73.7887890640001 18.555032895000064),,,29,5,3,Healthy,,Government,Pashan Forest,"Banner Road
",18.5550329,73.78878906,TRUE,Mechanically cut,N/A,9,Leucaena leucocephala (Lamk.)De.wit.,4029560,Subabul,Subabul,Timber wood,Seasonal,July-January,9,FALSE
