fid,id,oid,sr_no,girth_cm,height_m,canopy_dia_m,condition,ownership,society_name,road_name,northing,easting,balanced,special_collar,ward_name,botanical_name,saar_uid,common_name,local_name,economic_i,phenology,flowering,ward,is_rare
trees_display.fid--1672c0a_16c6758e284_-740,18040525,,,10,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50775124,73.90682872,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024549,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-73f,18040526,,,14,3,2,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50775442,73.90681867,True,nan,41,Gliricidia sepium (Jacq.) Walp.,4024550,Giripushpa,Giripushpa,Firewood,Seasonal,March-June,41,False
trees_display.fid--1672c0a_16c6758e284_-73e,18040527,,,10,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50776141,73.90681431,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024551,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-73d,18040528,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50777413,73.9068133,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024552,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-73c,18040529,,,10,2,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50776173,73.90681196,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024553,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-73b,18040530,,,92,10,6,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50770736,73.90684046,True,nan,41,Pithecellobium dulce (Roxb.)Benth.,4024554,Manila Tamarind,Villayati Chinch,Timber wood,Seasonal,January-June,41,False
trees_display.fid--1672c0a_16c6758e284_-73a,18040531,,,72,10,4,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50770069,73.90684314,True,nan,41,Pithecellobium dulce (Roxb.)Benth.,4024555,Manila Tamarind,Villayati Chinch,Timber wood,Seasonal,January-June,41,False
trees_display.fid--1672c0a_16c6758e284_-739,18040532,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50772517,73.90680391,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024556,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-738,18040533,,,12,2,1,Healthy,Government,Na,Baner Sus Road,18.55220593,73.78814366,True,nan,9,Gliricidia sepium (Jacq.) Walp.,4024829,Giripushpa,Giripushpa,Firewood,Seasonal,March-June,9,False
trees_display.fid--1672c0a_16c6758e284_-737,18040534,,,12,3,1,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50772326,73.90679654,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024557,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-736,18040535,,,14,3,2,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50773471,73.90679553,True,nan,41,Leucaena leucocephala (Lamk.)De.wit.,4024558,Subabul,Subabul,Timber wood,Seasonal,July-January,41,False
trees_display.fid--1672c0a_16c6758e284_-735,18040536,,,14,3,2,Healthy,Private,Sepulchre Cemetry,Pune Solapur Highway Road,18.50776841,73.90676435,True,nan,41,Pithecellobium dulce (Roxb.)Benth.,4024559,Manila Tamarind,Villayati Chinch,Timber wood,Seasonal,January-June,41,False
